Jugador,Nacionalidad,Club,Pais_Club
Mohamed Amine Tougaï,Argelia,Espérance de Tunis,Túnez
Achraf Abada,Argelia,USM Alger,Argelia
Nabil Bentaleb,Argelia,Lille,Francia
Hicham Boudaoui,Argelia,OGC Nice,Francia
Houssem Aouar,Argelia,Al-Ittihad,Arabia Saudita
Fares Chaibi,Argelia,Eintracht Frankfurt,Alemania
Ibrahim Maza,Argelia,Bayer Leverkusen,Alemania
Yacine Titraoui,Argelia,Royal Charleroi,Bélgica
Ramiz Zerrouki,Argelia,Twente,Países Bajos
Mohamed Amine Amoura,Argelia,VfL Wolfsburg,Alemania
Nadhir Benbouali,Argelia,Győr,Hungría
Adil Boulbina,Argelia,Al-Duhail,Catar
Fares Ghedjemis,Argelia,Frosinone,Italia
Amine Gouiri,Argelia,Olympique de Marseille,Francia
Anis Hadj Moussa,Argelia,Feyenoord,Países Bajos
Riyad Mahrez,Argelia,Al-Ahli,Arabia Saudita
Patrick Pentz,Austria,Brøndby,Dinamarca
Alexander Schlager,Austria,Red Bull Salzburg,Austria
Florian Wiegele,Austria,Viktoria Plzeň,República Checa
David Affengruber,Austria,Elche,España
David Alaba,Austria,Real Madrid,España
Kevin Danso,Austria,Tottenham Hotspur,Inglaterra
Marco Friedl,Austria,Werder Bremen,Alemania
Philipp Lienhart,Austria,SC Freiburg,Alemania
Phillipp Mwene,Austria,Mainz 05,Alemania
Stefan Posch,Austria,Como,Italia
Alexander Prass,Austria,TSG Hoffenheim,Alemania
Michael Svoboda,Austria,Venezia,Italia
Christoph Baumgartner,Austria,RB Leipzig,Alemania
Carney Chukwuemeka,Austria,Borussia Dortmund,Alemania
Florian Grillitsch,Austria,SC Braga,Portugal
Konrad Laimer,Austria,Bayern Múnich,Alemania
Marcel Sabitzer,Austria,Borussia Dortmund,Alemania
Xaver Schlager,Austria,RB Leipzig,Alemania
Nicolas Seiwald,Austria,RB Leipzig,Alemania
Romano Schmid,Austria,Werder Bremen,Alemania
Alessandro Schöpf,Austria,Wolfsberger AC,Austria
Marko Arnautovic,Austria,Crvena Zvezda,Serbia
Michael Gregoritsch,Austria,Augsburg,Alemania
Sasa Kalajdzic,Austria,LASK,Austria
Matthieu Epolo,República Democrática del Congo,Standard Liege,Bélgica
Timothy Fayulu,República Democrática del Congo,FC Noah,Armenia
Lionel Mpasi,República Democrática del Congo,Le Havre,Francia
Dylan Batubinsika,República Democrática del Congo,Larisa,Grecia
Rocky Bushiri,República Democrática del Congo,Hibernian,Escocia
Gedeon Kalulu,República Democrática del Congo,Aris Limassol,Chipre
Steve Kapuadi,República Democrática del Congo,Widzew Lodz,Polonia
Joris Kayembe,República Democrática del Congo,Racing Genk,Bélgica
Arthur Masuaku,República Democrática del Congo,Lens,Francia
Chancel Mbemba,República Democrática del Congo,Lille,Francia
Axel Tuanzebe,República Democrática del Congo,Burnley,Inglaterra
Aaron Wan-Bissaka,República Democrática del Congo,West Ham United,Inglaterra
